loadSoferi, 2022-04-30T13:00:47.748415400
loadUseri, 2022-04-30T13:00:47.775397500
loadLocaluri, 2022-04-30T13:00:47.776397400
loadComenzi, 2022-04-30T13:00:47.776397400
loadSoferi, 2022-04-30T13:07:11.589234
loadUseri, 2022-04-30T13:07:11.603187500
loadLocaluri, 2022-04-30T13:07:11.604186700
loadComenzi, 2022-04-30T13:07:11.604186700
loadSoferi, 2022-04-30T13:10:46.912446
loadUseri, 2022-04-30T13:10:46.926393100
loadLocaluri, 2022-04-30T13:10:46.926393100
loadComenzi, 2022-04-30T13:10:46.927395300
loadSoferi, 2022-04-30T13:12:39.697005600
loadUseri, 2022-04-30T13:12:39.714948300
loadLocaluri, 2022-04-30T13:12:39.714948300
loadComenzi, 2022-04-30T13:12:39.715938900
loadSoferi, 2022-04-30T13:13:23.032143100
loadUseri, 2022-04-30T13:13:23.054068700
loadLocaluri, 2022-04-30T13:13:23.056063400
loadComenzi, 2022-04-30T13:13:23.057059900
writeSofer, 2022-04-30T13:13:23.059052900
writeSofer, 2022-04-30T13:13:23.060051100
writeSofer, 2022-04-30T13:13:23.060051100
writeSofer, 2022-04-30T13:13:23.060051100
writeUser, 2022-04-30T13:13:23.064037800
writeUser, 2022-04-30T13:13:23.064037800
writeUser, 2022-04-30T13:13:23.064037800
writeUser, 2022-04-30T13:13:23.065033100
writeLocal, 2022-04-30T13:13:23.067027700
writeLocal, 2022-04-30T13:13:23.068024100
writeLocal, 2022-04-30T13:13:23.068024100
writeLocal, 2022-04-30T13:13:23.068024100
writeComanda, 2022-04-30T13:13:23.070016
writeComanda, 2022-04-30T13:13:23.071012700
writeComanda, 2022-04-30T13:13:23.073017200
writeComanda, 2022-04-30T13:13:23.074006700
writeComanda, 2022-04-30T13:13:23.074006700
loadSoferi, 2022-04-30T13:13:44.837841200
loadSoferi, 2022-04-30T13:14:11.257055100
loadSoferi, 2022-04-30T13:15:07.012786900
loadSoferi, 2022-04-30T13:18:28.433344900
loadSoferi, 2022-04-30T13:18:48.268192200
loadSoferi, 2022-04-30T13:22:16.658581800
loadSoferi, 2022-04-30T13:30:38.596195700
loadSoferi, 2022-04-30T13:33:30.143515100
loadSoferi, 2022-05-14T13:33:38.679740300
loadSoferi, 2022-05-14T13:35:29.071573700
loadSoferi, 2022-05-14T13:36:00.606704500
loadSoferi, 2022-05-14T13:38:19.052831600
loadSoferi, 2022-05-14T13:38:41.252185700
loadSoferi, 2022-05-14T13:38:51.033435800
loadSoferi, 2022-05-14T13:39:57.387144400
loadSoferi, 2022-05-14T13:44:16.407811
loadSoferi, 2022-05-14T13:44:31.566644600
loadSoferi, 2022-05-14T13:44:51.217128800
loadSoferi, 2022-05-14T13:46:05.767152800
loadSoferi, 2022-05-14T13:46:19.345403500
loadSoferi, 2022-05-14T13:49:40.037814500
loadUseri, 2022-05-14T13:50:40.668892100
loadSoferi, 2022-05-17T13:35:51.088047600
loadSoferi, 2022-05-21T10:53:04.744337100
loadSoferi, 2022-05-21T10:54:20.761982700
loadSoferi, 2022-05-21T10:59:29.146179400
loadSoferi, 2022-05-21T10:59:59.611772600
